189,Cent symbol,
190,YEN and YUAN sign,
191,Box drawing character,
192,Box drawing character,
193,Box drawing character,
194,Box drawing character,
195,Box drawing character,
196,Box drawing character,
197,Box drawing character,
198,"Lowercase letter ""a"" with tilde or ""a-tilde""",
199,"Capital letter ""A"" with tilde or ""A-tilde""",
200,Box drawing character double line lower left corner,&boxUR;
201,Box drawing character double line upper left corner,&boxDR;
202,Box drawing character double line horizontal and up,&boxHU;
203,Box drawing character double line horizontal down,&boxHD;
204,Box drawing character double line vertical and right,&boxVR;
205,Box drawing character double horizontal line,&boxH;
206,Box drawing character double line horizontal vertical,&boxVH;
207,generic currency sign,&curren;
208,Lowercase letter eth,&eth;
209,Capital letter Eth,&ETH;
210,Letter E with circumflex accent or E-circumflex,&Ecirc;
211,"letter ""E"" with umlaut or diaeresis; ""E-umlaut""",
212,"letter ""E"" with grave accent",
213,lowercase dot less i,
214,"Capital letter ""I"" with acute accent or ""I-acute""",
215,"letter ""I"" with circumflex accent or ""I-circumflex""",
216,"letter ""I"" with umlaut or diaeresis; ""I-umlaut""",
217,Box drawing character,
218,Box drawing character,
219,Block,
220,Bottom half block,
221,vertical broken bar,
222,"letter ""I"" with grave accent",
223,Top half block,
224,"Capital letter ""O"" with acute accent or ""O-acute""",
225,"letter ""Eszett""; ""scharfes S"" or ""sharp S""",
226,"letter ""O"" with circumflex accent or ""O-circumflex""",
227,"letter ""O"" with grave accent",
228,"letter ""o"" with tilde or ""o-tilde""",
229,"letter ""O"" with tilde or ""O-tilde""",
230,"Lowercase letter ""Mu""; micro sign or micron",
231,"Lowercase letter ""Thorn""",
232,"Capital letter ""thorn""",
233,"Capital letter ""U"" with acute accent or ""U-acute""",
234,"letter ""U"" with circumflex accent or ""U-circumflex""",
235,"letter ""U"" with grave accent",
236,"Lowercase letter ""y"" with acute accent",
237,"Capital letter ""Y"" with acute accent",
238,macron symbol,
239,Acute accent,
240,Hyphen,
241,Plus-minus sign,
242,underline or underscore,
243,three quarters,
244,paragraph sign or pilcrow,
245,Section sign,
246,The division sign; Obelus,
247,cedilla,
248,degree symbol ,
249,Diaeresis,
250,Interpunct or space dot,
251,superscript one,
252,cube or superscript three,
253,Square or superscript two,
254,black square,
255,non-breaking space or no-break space,
